drug_name,disease_name,protein_name
prednisolone,exanthem,serpin family a member 6
fluocinolone acetonide,exanthem,serpin family a member 6
betamethasone,exanthem,nuclear receptor subfamily 3 group c member 1
mometasone,exanthem,nuclear receptor subfamily 3 group c member 1
triamcinolone,exanthem,serpin family a member 6
amcinonide,exanthem,nuclear receptor subfamily 3 group c member 1
flumethasone pivalate,exanthem,serpin family a member 6
fluticasone,exanthem,serpin family a member 6
alclometasone dipropionate,exanthem,serpin family a member 6
fluocinolone acetonide,granuloma annulare,serpin family a member 6
prednisolone,granuloma annulare,serpin family a member 6
triamcinolone,granuloma annulare,serpin family a member 6
alclometasone dipropionate,granuloma annulare,serpin family a member 6
mometasone,granuloma annulare,nuclear receptor subfamily 3 group c member 1
fluticasone,granuloma annulare,serpin family a member 6
cortisol,granuloma annulare,sex hormone binding globulin
cortisol,granuloma annulare,serpin family a member 6
clocortolone pivalate,granuloma annulare,nuclear receptor subfamily 3 group c member 1
flumethasone pivalate,granuloma annulare,serpin family a member 6
amcinonide,granuloma annulare,nuclear receptor subfamily 3 group c member 1
prednisolone,pemphigus,serpin family a member 6
betamethasone,pemphigus,nuclear receptor subfamily 3 group c member 1
triamcinolone,pemphigus,serpin family a member 6
prednisone,pemphigus,nuclear receptor subfamily 3 group c member 1
cortisol,pemphigus,nuclear receptor subfamily 3 group c member 1
cortisol,pemphigus,sex hormone binding globulin
cortisol,pemphigus,serpin family a member 6
cortisol,rosacea,sex hormone binding globulin
cortisol,rosacea,serpin family a member 6
prednisolone,rosacea,serpin family a member 6
loteprednol etabonate,rosacea,nuclear receptor subfamily 3 group c member 1
fluorometholone,rosacea,nuclear receptor subfamily 3 group c member 1
fluorometholone,rosacea,serpin family a member 6
clobetasol propionate,scalp dermatosis,nuclear receptor subfamily 3 group c member 1
fluticasone,seborrheic dermatitis,serpin family a member 6
betamethasone,seborrheic dermatitis,prostaglandin-endoperoxide synthase 2
prednisolone,seborrheic dermatitis,serpin family a member 6
cortisol,seborrheic dermatitis,cytochrome p450 family 11 subfamily b member 2
cortisol,seborrheic dermatitis,cytochrome p450 family 11 subfamily b member 1
cortisol,seborrheic dermatitis,sex hormone binding globulin
cortisol,seborrheic dermatitis,serpin family a member 6
(-)-menthol,seborrheic dermatitis,transient receptor potential cation channel subfamily m member 8
alclometasone dipropionate,seborrheic dermatitis,serpin family a member 6
triamcinolone,seborrheic dermatitis,prostaglandin-endoperoxide synthase 2
triamcinolone,seborrheic dermatitis,serpin family a member 6
clobetasol propionate,seborrheic dermatitis,nuclear receptor subfamily 3 group c member 1
flumethasone pivalate,seborrheic dermatitis,serpin family a member 6
fluocinolone acetonide,seborrheic dermatitis,serpin family a member 6
mometasone,seborrheic dermatitis,nuclear receptor subfamily 3 group c member 1
metyrapone,adrenal gland hyperfunction,cytochrome p450 family 11 subfamily b member 1
metyrapone,adrenal gland hyperfunction,cytochrome p450 family 11 subfamily b member 2
prednisolone,bacterial conjunctivitis,nuclear receptor subfamily 3 group c member 1
prednisolone,bacterial conjunctivitis,serpin family a member 6
ceftriaxone,bacterial meningitis,synuclein alpha
minoxidil,alopecia,potassium inwardly rectifying channel subfamily j member 11
minoxidil,alopecia,atp binding cassette subfamily c member 9
prednisolone,dacryocystitis,serpin family a member 6
prednisone,b-cell chronic lymphocytic leukemia,nuclear receptor subfamily 3 group c member 1
acalabrutinib,b-cell chronic lymphocytic leukemia,bruton tyrosine kinase
acalabrutinib,b-cell chronic lymphocytic leukemia,txk tyrosine kinase
acalabrutinib,b-cell chronic lymphocytic leukemia,bmx non-receptor tyrosine kinase
acalabrutinib,b-cell chronic lymphocytic leukemia,"blk proto-oncogene, src family tyrosine kinase"
acalabrutinib,b-cell chronic lymphocytic leukemia,tec protein tyrosine kinase
venetoclax,b-cell chronic lymphocytic leukemia,bcl2 like 2
venetoclax,b-cell chronic lymphocytic leukemia,bcl2 like 1
ibrutinib,b-cell chronic lymphocytic leukemia,bmx non-receptor tyrosine kinase
ibrutinib,b-cell chronic lymphocytic leukemia,tec protein tyrosine kinase
ibrutinib,b-cell chronic lymphocytic leukemia,"blk proto-oncogene, src family tyrosine kinase"
ibrutinib,b-cell chronic lymphocytic leukemia,txk tyrosine kinase
carmustine,hodgkins lymphoma,glutathione-disulfide reductase
vincristine,hodgkins lymphoma,atp binding cassette subfamily b member 1
vincristine,hodgkins lymphoma,tubulin beta 8 class viii
vincristine,hodgkins lymphoma,tubulin beta 3 class iii
vincristine,hodgkins lymphoma,tubulin beta class i
vincristine,hodgkins lymphoma,tubulin beta 1 class vi
vincristine,hodgkins lymphoma,tubulin beta 4a class iva
vincristine,hodgkins lymphoma,tubulin beta 2a class iia
vincristine,hodgkins lymphoma,tubulin beta 2b class iib
vincristine,hodgkins lymphoma,tubulin beta 4b class ivb
vincristine,hodgkins lymphoma,tubulin beta 6 class v
prednisolone,hodgkins lymphoma,nuclear receptor subfamily 3 group c member 1
prednisolone,hodgkins lymphoma,atp binding cassette subfamily b member 1
prednisolone,hodgkins lymphoma,serpin family a member 6
cortisol,hodgkins lymphoma,nuclear receptor subfamily 3 group c member 1
cortisol,hodgkins lymphoma,atp binding cassette subfamily b member 1
cortisol,hodgkins lymphoma,sex hormone binding globulin
cortisol,hodgkins lymphoma,serpin family a member 6
etoposide,hodgkins lymphoma,glutathione s-transferase pi 1
etoposide,hodgkins lymphoma,dna topoisomerase ii alpha
etoposide,hodgkins lymphoma,udp glucuronosyltransferase family 1 member a1
etoposide,hodgkins lymphoma,atp binding cassette subfamily b member 1
betamethasone,hodgkins lymphoma,atp binding cassette subfamily b member 1
betamethasone,hodgkins lymphoma,nuclear receptor subfamily 3 group c member 1
triamcinolone,hodgkins lymphoma,nuclear receptor subfamily 3 group c member 1
triamcinolone,hodgkins lymphoma,serpin family a member 6
chlorambucil,hodgkins lymphoma,glutathione s-transferase pi 1
epirubicin,hodgkins lymphoma,dna topoisomerase ii alpha
vinblastine,hodgkins lymphoma,tubulin beta 4a class iva
vinblastine,hodgkins lymphoma,tubulin gamma 1
vinblastine,hodgkins lymphoma,tubulin beta 1 class vi
vinblastine,hodgkins lymphoma,tubulin beta 8 class viii
vinblastine,hodgkins lymphoma,atp binding cassette subfamily b member 1
vinblastine,hodgkins lymphoma,tubulin alpha 1a
vinblastine,hodgkins lymphoma,tubulin beta 2b class iib
vinblastine,hodgkins lymphoma,tubulin beta 4b class ivb
vinblastine,hodgkins lymphoma,tubulin beta class i
vinblastine,hodgkins lymphoma,tubulin beta 2a class iia
vinblastine,hodgkins lymphoma,tubulin beta 3 class iii
vinblastine,hodgkins lymphoma,tubulin delta 1
vinblastine,hodgkins lymphoma,tubulin beta 6 class v
vinblastine,hodgkins lymphoma,tubulin epsilon 1
prednisone,hodgkins lymphoma,nuclear receptor subfamily 3 group c member 1
prednisone,hodgkins lymphoma,atp binding cassette subfamily b member 1
cyclophosphamide,hodgkins lymphoma,atp binding cassette subfamily b member 1
methylprednisolone,hodgkins lymphoma,nuclear receptor subfamily 3 group c member 1
methylprednisolone,hodgkins lymphoma,atp binding cassette subfamily b member 1
tamoxifen,invasive ductal breast carcinoma,ebp cholestenol delta-isomerase
tamoxifen,invasive ductal breast carcinoma,7-dehydrocholesterol reductase
tamoxifen,invasive ductal breast carcinoma,ebp like
tamoxifen,invasive ductal breast carcinoma,estrogen receptor 1
prednisolone,acute lymphoblastic leukemia,nuclear receptor subfamily 3 group c member 1
prednisolone,acute lymphoblastic leukemia,atp binding cassette subfamily b member 1
prednisolone,acute lymphoblastic leukemia,serpin family a member 6
cytarabine,acute lymphoblastic leukemia,"dna polymerase alpha 1, catalytic subunit"
cytarabine,acute lymphoblastic leukemia,"dna polymerase delta 1, catalytic subunit"
cytarabine,acute lymphoblastic leukemia,"dna polymerase epsilon, catalytic subunit"
daunorubicin,acute lymphoblastic leukemia,cytochrome p450 family 1 subfamily b member 1
daunorubicin,acute lymphoblastic leukemia,dna topoisomerase ii alpha
daunorubicin,acute lymphoblastic leukemia,cytochrome p450 family 1 subfamily a member 2
daunorubicin,acute lymphoblastic leukemia,atp binding cassette subfamily b member 1
mercaptopurine,acute lymphoblastic leukemia,phosphoribosyl pyrophosphate amidotransferase
cyclophosphamide,acute lymphoblastic leukemia,atp binding cassette subfamily b member 1
cyclophosphamide,acute lymphoblastic leukemia,cytochrome p450 family 2 subfamily c member 8
cortisol,acute lymphoblastic leukemia,cytochrome p450 family 2 subfamily c member 8
cortisol,acute lymphoblastic leukemia,nuclear receptor subfamily 3 group c member 1
cortisol,acute lymphoblastic leukemia,atp binding cassette subfamily b member 1
cortisol,acute lymphoblastic leukemia,sex hormone binding globulin
cortisol,acute lymphoblastic leukemia,serpin family a member 6
prednisone,acute lymphoblastic leukemia,nuclear receptor subfamily 3 group c member 1
prednisone,acute lymphoblastic leukemia,atp binding cassette subfamily b member 1
vincristine,acute lymphoblastic leukemia,atp binding cassette subfamily b member 1
vincristine,acute lymphoblastic leukemia,tubulin beta 8 class viii
vincristine,acute lymphoblastic leukemia,tubulin beta 3 class iii
vincristine,acute lymphoblastic leukemia,tubulin beta class i
vincristine,acute lymphoblastic leukemia,tubulin beta 1 class vi
vincristine,acute lymphoblastic leukemia,tubulin beta 4a class iva
vincristine,acute lymphoblastic leukemia,tubulin beta 2a class iia
vincristine,acute lymphoblastic leukemia,tubulin beta 2b class iib
vincristine,acute lymphoblastic leukemia,tubulin beta 4b class ivb
vincristine,acute lymphoblastic leukemia,tubulin beta 6 class v
teniposide,acute lymphoblastic leukemia,dna topoisomerase ii alpha
clofarabine,acute lymphoblastic leukemia,ribonucleotide reductase catalytic subunit m1
clofarabine,acute lymphoblastic leukemia,"dna polymerase alpha 1, catalytic subunit"
clofarabine,acute lymphoblastic leukemia,ribonucleotide reductase regulatory subunit m2
triamcinolone,acute lymphoblastic leukemia,nuclear receptor subfamily 3 group c member 1
triamcinolone,acute lymphoblastic leukemia,serpin family a member 6
betamethasone,acute lymphoblastic leukemia,atp binding cassette subfamily b member 1
betamethasone,acute lymphoblastic leukemia,nuclear receptor subfamily 3 group c member 1
methylprednisolone,acute lymphoblastic leukemia,nuclear receptor subfamily 3 group c member 1
methylprednisolone,acute lymphoblastic leukemia,atp binding cassette subfamily b member 1
galantamine,alzheimer disease,cytochrome p450 family 2 subfamily d member 6
galantamine,alzheimer disease,cholinergic receptor nicotinic alpha 4 subunit
galantamine,alzheimer disease,cholinergic receptor nicotinic beta 2 subunit
galantamine,alzheimer disease,butyrylcholinesterase
galantamine,alzheimer disease,cholinergic receptor nicotinic alpha 7 subunit
galantamine,alzheimer disease,acetylcholinesterase (yt blood group)
rivastigmine,alzheimer disease,butyrylcholinesterase
rivastigmine,alzheimer disease,cytochrome p450 family 2 subfamily d member 6
donepezil,alzheimer disease,cytochrome p450 family 2 subfamily d member 6
donepezil,alzheimer disease,5-hydroxytryptamine receptor 2a
donepezil,alzheimer disease,butyrylcholinesterase
terbutaline,asthma,adrenoceptor beta 1
betamethasone,asthma,prostaglandin-endoperoxide synthase 2
theophylline,asthma,adenosine a2a receptor
theophylline,asthma,adenosine a2b receptor
theophylline,asthma,phosphodiesterase 4c
theophylline,asthma,phosphodiesterase 4a
theophylline,asthma,phosphodiesterase 3a
theophylline,asthma,phosphodiesterase 4d
theophylline,asthma,phosphodiesterase 4b
theophylline,asthma,adenosine deaminase
theophylline,asthma,adenosine a1 receptor
theophylline,asthma,adenosine a3 receptor
prednisone,asthma,nuclear receptor subfamily 3 group c member 1
prednisone,asthma,albumin
beclometasone,asthma,serpin family a member 6
beclometasone,asthma,nuclear receptor subfamily 3 group c member 1
(-)-noradrenaline,asthma,adrenoceptor alpha 2a
(-)-noradrenaline,asthma,adrenoceptor beta 3
(-)-noradrenaline,asthma,adrenoceptor alpha 1b
(-)-noradrenaline,asthma,adrenoceptor beta 1
(-)-noradrenaline,asthma,adrenoceptor alpha 1a
(-)-noradrenaline,asthma,adrenoceptor alpha 2c
(-)-noradrenaline,asthma,solute carrier family 22 member 5
(-)-noradrenaline,asthma,adrenoceptor alpha 1d
mometasone,asthma,nuclear receptor subfamily 3 group c member 1
triamcinolone,asthma,prostaglandin-endoperoxide synthase 2
triamcinolone,asthma,serpin family a member 6
indacaterol,asthma,adrenoceptor beta 2
indacaterol,asthma,adrenoceptor beta 1
indacaterol,asthma,cholinergic receptor muscarinic 3
nedocromil,asthma,prostaglandin d2 receptor
(-)-adrenaline,asthma,adrenoceptor beta 1
(-)-adrenaline,asthma,adrenoceptor beta 2
(-)-adrenaline,asthma,adrenoceptor alpha 1a
(-)-adrenaline,asthma,solute carrier family 22 member 5
(-)-adrenaline,asthma,adrenoceptor alpha 1b
(-)-adrenaline,asthma,adrenoceptor alpha 2a
(-)-adrenaline,asthma,adrenoceptor alpha 1d
(-)-adrenaline,asthma,adrenoceptor beta 3
(-)-adrenaline,asthma,tumor necrosis factor
(-)-adrenaline,asthma,adrenoceptor alpha 2c
flunisolide,asthma,serpin family a member 6
zafirlukast,asthma,cysteinyl leukotriene receptor 1
zafirlukast,asthma,cysteinyl leukotriene receptor 2
zafirlukast,asthma,prostaglandin-endoperoxide synthase 1
zafirlukast,asthma,leukotriene b4 receptor
prednisolone,asthma,serpin family a member 6
fluticasone,asthma,serpin family a member 6
fluticasone,asthma,phospholipase a2 group iva
cortisol,asthma,nuclear receptor subfamily 3 group c member 1
cortisol,asthma,sex hormone binding globulin
cortisol,asthma,serpin family a member 6
dyphylline,asthma,adenosine a1 receptor
dyphylline,asthma,adenosine a2a receptor
dyphylline,asthma,phosphodiesterase 3a
prednisolone,atopic eczema,nuclear receptor subfamily 3 group c member 1
prednisolone,atopic eczema,serpin family a member 6
triamcinolone,atopic eczema,nuclear receptor subfamily 3 group c member 1
triamcinolone,atopic eczema,serpin family a member 6
methylprednisolone,atopic eczema,nuclear receptor subfamily 3 group c member 1
betamethasone,atopic eczema,nuclear receptor subfamily 3 group c member 1
dronedarone,atrial fibrillation,potassium voltage-gated channel subfamily h member 2
dronedarone,atrial fibrillation,hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2
dronedarone,atrial fibrillation,calcium voltage-gated channel subunit alpha1 c
dronedarone,atrial fibrillation,potassium two pore domain channel subfamily k member 2
dronedarone,atrial fibrillation,calcium voltage-gated channel subunit alpha1 s
dronedarone,atrial fibrillation,cytochrome p450 family 2 subfamily d member 6
dronedarone,atrial fibrillation,sodium voltage-gated channel alpha subunit 1
dronedarone,atrial fibrillation,hyperpolarization activated cyclic nucleotide gated potassium channel 1
dronedarone,atrial fibrillation,adrenoceptor beta 1
dronedarone,atrial fibrillation,hyperpolarization activated cyclic nucleotide gated potassium channel 3
dronedarone,atrial fibrillation,calcium voltage-gated channel auxiliary subunit beta 2
dronedarone,atrial fibrillation,atp binding cassette subfamily b member 1
flecainide,atrial fibrillation,cytochrome p450 family 2 subfamily d member 6
propranolol,atrial fibrillation,cytochrome p450 family 2 subfamily c member 19
propranolol,atrial fibrillation,cytochrome p450 family 2 subfamily d member 6
propranolol,atrial fibrillation,atp binding cassette subfamily b member 1
